timestamp,listening_ports_total,loopback_ports,exposed_ports,sensitive_ports_count,established_external,unique_external_ips,delta_listening_ports_total,delta_loopback_ports,delta_exposed_ports,delta_sensitive_ports_count,delta_established_external,delta_unique_external_ips
2026-02-03 20:58:27.119207+00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03 20:59:27.140456+00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03 21:10:53.722719+00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03 21:11:53.744028+00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03 21:12:53.765765+00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03 21:13:53.786748+00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03 21:14:53.814489+00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03 21:15:53.851592+00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03 21:16:53.878256+00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03 21:17:53.927970+00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03 21:18:53.972975+00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03 21:19:54.000966+00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03 21:20:54.032075+00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03 21:21:54.060239+00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03 21:22:54.092247+00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03 21:23:54.120564+00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03 21:24:54.146972+00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03 21:25:54.175841+00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03 21:26:54.202202+00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03 21:27:54.229784+00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03 21:28:54.258096+00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03 21:29:54.284312+00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
